#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"1526ea","a-h-A-M-F-Y","RF-75336","IL-18D","RUS N"
"1526eb","a-h-A-M-F-Y","RF-75499","IL-18D","RUS AF"
"1526fc","a-h-A-M-F-V","RA-75516","IL-18V","RUS AF"
"152708","a-h-A-M-F-V","RA-75528","IL-18V","RUS N"
"15279c","a-h-A-M-F-V","RF-75676","IL-18E","RUS AF"
"15287b","a-h-A-M-F-D","RA-75899","IL-22","RUS AF"
"15287c","a-h-A-M-F-D","RF-75317","IL-22","RUS AF"
"15287d","a-h-A-M-F-D","RF-75600","IL-22","RUS AF"
"15287e","a-h-A-M-F-D","RA-75902","IL-22","RUS AF"
"15287f","a-h-A-M-F-J","RA-75903","IL-22PP","RUS AF"
"152881","a-h-A-M-F-Y","RF-75337","IL-18D36","RUS N"
"152882","a-h-A-M-F-Y","RF-95673","IL-22M-11-RT","RUS AF"
"152884","a-h-A-M-F-Y","RF-95677","IL-22M-11","RUS AF"
"152885","a-h-A-M-F-Y","RF-95676","IL-22M-11","RUS AF"
"152886","a-h-A-M-F-Y","RF-94417","IL-22M-11","RUS AF"
"152887","a-h-A-M-F-Y","RA-75911","IL-22M-11-RT","RUS AF"
"152888","a-h-A-M-F-Y","RF-95675","IL-22M-11","RUS AF"
"152889","a-h-A-M-F-Y","RA-75913","IL-22M-11","RUS AF"
"15288a","a-h-A-M-F-Y","RA-75914","IL-22M-11","RUS AF"
"15288d","a-h-A-M-F-Y","RA-75917","IL-18M-11","RUS AF"
"152890","a-h-A-M-F-Y","RA-75920","IL-22M-11","RUS AF"
"152892","a-h-A-M-F-Y","RA-75922","IL-22M-11","RUS AF"
"152893","a-h-A-M-F-R-Z","RA-75923","IL-20M","RUS AF"
"152894","a-h-A-M-F-Y","RA-75924","IL-22M-11","RUS AF"
"152895","a-h-A-M-F-Y","RA-75925","IL-22M-11","RUS AF"
