#TAK ADSB IDs USAF TANKERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"ae0654","a-f-A-M-F-K","58-0071","KC-135T","USAF",""
"ae0655","a-f-A-M-F-K","58-0084","KC-135T","USAF",""
"ae0656","a-f-A-M-F-K","58-0102","KC-135R","USAF",""
"ae0658","a-f-A-M-F-K","59-1462","KC-135T","USAF",""
"ae0659","a-f-A-M-F-K","59-1464","KC-135T","USAF",""
"ae065a","a-f-A-M-F-K","59-1486","KC-135R","USAF",""
"ae065c","a-f-A-M-F-K","59-1507","KC-135R","USAF",""
"ae065d","a-f-A-M-F-K","60-0320","KC-135R","USAF",""
"ae065e","a-f-A-M-F-K","60-0332","KC-135R","USAF",""
"ae065f","a-f-A-M-F-K","60-0346","KC-135T","USAF",""
"ae0660","a-f-A-M-F-K","60-0348","KC-135R","USAF",""
"ae0660","a-f-A-M-F-K","60-0348","KC-135R","USAF",""
"ae0661","a-f-A-M-F-K","60-0351","KC-135R","USAF",""
"ae0663","a-f-A-M-F-K","60-0364","KC-135R","USAF",""
"ae0664","a-f-A-M-F-K","61-0277","KC-135R","USAF",""
"ae0665","a-f-A-M-F-K","61-0299","KC-135T","USAF",""
"ae0666","a-f-A-M-F-K","61-0305","KC-135R","USAF",""
"ae0667","a-f-A-M-F-K","61-0317","KC-135R","USAF",""
"ae0668","a-f-A-M-F-K","62-3523","KC-135R","USAF",""
"ae0669","a-f-A-M-F-K","62-3540","KC-135R","USAF",""
"ae066a","a-f-A-M-F-K","62-3549","KC-135R","USAF",""
"ae066b","a-f-A-M-F-K","62-3554","KC-135R","USAF",""
"ae066c","a-f-A-M-F-K","62-3562","KC-135R","USAF",""
"ae066d","a-f-A-M-F-K","62-3565","KC-135R","USAF",""
"ae066e","a-f-A-M-F-K","62-3569","KC-135R","USAF",""
"ae066f","a-f-A-M-F-K","62-3580","KC-135R","USAF",""
"ae0671","a-f-A-M-F-K","63-8000","KC-135R","USAF",""
"ae0673","a-f-A-M-F-K","63-8027","KC-135R","USAF",""
"ae0674","a-f-A-M-F-K","63-8040","KC-135R","USAF",""
"ae0681","a-f-A-M-F-K","58-0086","KC-135T","USAF",""
"ae0683","a-f-A-M-F-K","60-0313","KC-135R","USAF",""
"ae0685","a-f-A-M-F-K","60-0322","KC-135R","USAF",""
"ae0686","a-f-A-M-F-K","60-0328","KC-135R","USAF",""
"ae0687","a-f-A-M-F-K","60-0349","KC-135R","USAF",""
"ae0689","a-f-A-M-F-K","61-0300","KC-135R","USAF",""
"ae068b","a-f-A-M-F-K","62-3510","KC-135R","USAF",""
"ae068c","a-f-A-M-F-K","62-3513","KC-135R","USAF",""
"ae068d","a-f-A-M-F-K","62-3517","KC-135R","USAF",""
"ae068e","a-f-A-M-F-K","62-3529","KC-135R","USAF",""
"ae068e","a-f-A-M-F-K","62-3529","KC-135R","USAF",""
"ae068f","a-f-A-M-F-K","62-3534","KC-135R","USAF",""
"ae0690","a-f-A-M-F-K","62-3538","KC-135R","USAF",""
"ae0692","a-f-A-M-F-K","63-7997","KC-135R","USAF",""
"ae0693","a-f-A-M-F-K","63-8004","KC-135R","USAF",""
"ae07a1","a-f-A-M-F-K","58-0099","KC-135T","USAF",""
"ae07a3","a-f-A-M-F-K","58-0118","KC-135R","USAF",""
"ae07a5","a-f-A-M-F-K","59-1471","KC-135T","USAF",""
"ae07a6","a-f-A-M-F-K","59-1474","KC-135T","USAF",""
"ae07a7","a-f-A-M-F-K","59-1498","KC-135R","USAF",""
"ae07a8","a-f-A-M-F-K","59-1508","KC-135R","USAF",""
"ae07a9","a-f-A-M-F-K","59-1515","KC-135R","USAF",""
