#TAK ADSB IDs USAF CARGO
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae4bde","a-f-A-M-F-C-M","10-5701","C-130J-30","USAF"
"ae4d66","a-f-A-M-F-C-H","10-0213","C-17","USAF"
"ae4d67","a-f-A-M-F-C-H","10-0214","C-17A","USAF"
"ae4d68","a-f-A-M-F-C-H","10-0215","C-17A","USAF"
"ae4d69","a-f-A-M-F-C-H","10-0216","C-17A","USAF"
"ae4e0d","a-f-A-M-F-C-M","11-5740","C-130J","USAF"
"ae4e0f","a-f-A-M-F-C-M","11-5734","C-130J","USAF"
"ae4e11","a-f-A-M-F-C-M","11-5738","C-130J","USAF"
"ae4e12","a-f-A-M-F-C-M","11-5752","C-130J-30","USAF"
"ae4e13","a-f-A-M-F-C-M","11-5745","C-130J","USAF"
"ae4e14","a-f-A-M-F-C-M","11-5748","C-130J","USAF"
"ae4f12","a-f-A-M-F-C-H","10-0218","C-17A","USAF"
"ae4f15","a-f-A-M-F-C-H","10-0221","C-17","USAF"
"ae54c8","a-f-A-M-F-C-M","10-5771","C-130J","USAF"
"ae595b","a-f-A-M-F-C-M","13-5784","C-130J","USAF"
"ae595c","a-f-A-M-F-C-M","14-5788","C-130J-30","USAF"
"ae595d","a-f-A-M-F-C-M","14-5791","C-130J","USAF"
"ae595f","a-f-A-M-F-C-M","14-5802","C-130J-30","USAF"
"ae5c54","a-f-A-M-F-C-M","15-5810","C-130J-30","USAF"
"ae5c94","a-f-A-M-F-C-M","15-5813","C-130J-30","USAF"
"ae5c97","a-f-A-M-F-C-M","15-5822","C-130J","USAF"
"ae5c9d","a-f-A-M-F-C-M","15-5831","C-130J","USAF"
"ae5df7","a-f-A-M-F-C-M","16-5834","C-130J-30","USAF"
"ae5dfc","a-f-A-M-F-C-M","16-5840","C-130J","USAF"
"ae5dfd","a-f-A-M-F-C-M","16-5841","C-130J-30","USAF"
"ae5dfe","a-f-A-M-F-C-M","16-5843","C-130J-30","USAF"
"ae5f09","a-f-A-M-F-C-M","16-5851","C-130J","USAF"
"ae5f0c","a-f-A-M-F-C-M","16-5856","C-130J-30","USAF"
"ae5f11","a-f-A-M-F-C-M","14-5864","C-130J","USAF"
"ae5f12","a-f-A-M-F-C-M","17-5865","C-130J-30","USAF"
"ae5f13","a-f-A-M-F-C-M","17-5867","C-130J","USAF"
"ae61fd","a-f-A-M-F-C-M","16-5880","C-130J-30","USAF"
"ae6471","a-f-A-M-F-C-M","17-5897","C-130J-30","USAF"
"ae6473","a-f-A-M-F-C-M","17-5900","C-130J","USAF"
"ae6477","a-f-A-M-F-C-M","17-5904","C-130J-30","USAF"
"ae68ba","a-f-A-M-F-C-M","12-3040","C-146A","USAF"
"ae68bb","a-f-A-M-F-C-M","12-3085","C-146","USAF"
"ae68bd","a-f-A-M-F-C-M","12-3047","C-146A","USAF"
"ae68c0","a-f-A-M-F-C-M","16-3025","C-146A","USAF"
"ae68e0","a-f-A-M-F-C-M","95-3058","C-146A","USAF"
"ae6910","a-f-A-M-F-C-M","18-5908","C-130J","USAF"
"ae6912","a-f-A-M-F-C-M","18-5911","C-130J","USAF"
"ae6914","a-f-A-M-F-C-M","18-5914","C-130J-30","USAF"
"ae6916","a-f-A-M-F-C-M","18-5917","C-130J-30","USAF"
"ae6917","a-f-A-M-F-C-M","18-5919","C-130J-30","USAF"
"ae6919","a-f-A-M-F-C-M","18-5921","C-130J-30","USAF"
"ae6959","a-f-A-M-F-C-M","19-5927","C-130J","USAF"
"ae695a","a-f-A-M-F-C-M","19-5928","C-130J-30","USAF"
"ae695b","a-f-A-M-F-C-M","19-5932","C-130J","USAF"
"ae695c","a-f-A-M-F-C-M","19-5934","C-130J","USAF"
"ae695d","a-f-A-M-F-C-M","19-5936","C-130J-30","USAF"
