#TAK ADSB IDs USA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae50d0","a-f-A-M-H-U-M","10-20272","UH-60M","US A"
"ae50d3","a-f-A-M-H-U-M","10-20275","UH-60M","US A"
"ae50e5","a-f-A-M-H-U-M","10-20314","UH-60M","US A"
"ae52d7","a-f-A-M-H-C-H","11-08096","CH-47F","US A"
"ae537a","a-f-A-M-H-M","12-20470","MH-60K","US A"
"ae54d9","a-f-A-M-F-M","13-5778","MC-130J Commando II","USAF"
"ae54e7","a-f-A-M-F-T","16-6213","T-6","USAF"
"ae54e9","a-f-A-M-F-T","16-6215","T-6","USAF"
"ae54f1","a-f-A-M-F-T","166223","T-6","USN"
"ae5622","a-f-A-M-F-R","13-00282","MC-12S","US A"
"ae57c8","a-f-A-M-F-P","16-9003","P-8","US N"
"AE587F","a-f-A-M-F-B","60-0026","B-52","USAF"
"ae58e3","a-f-A-M-F-T","166238","T-6","USN"
"ae58e8","a-f-A-M-F-T","166243","T-6","USN"
"ae595b","a-f-A-M-F-C-M","13-5784","C-130J","USAF"
"ae599e","a-f-A-M-H-C-H","13-08436","CH-47F","US A"
"ae59b0","a-f-A-M-H-C-H","14-08444","CH-47D","US A"
"ae5a4a","a-f-A-M-H-U-L","14-72350","UH-72A","US A"
"ae5a52","a-f-A-M-H-U-L","14-72358","UH-72A","US A"
"ae5a6e","a-f-A-M-H-U-L","15-72386","UH-72A","US A"
"ae5a6f","a-f-A-M-H-U-L","15-72387","UH-72A","US A"
"ae5a8d","a-f-A-M-H-U-L","18-72417","UH-72A","US A"
"AE5AC9","a-f-A-M-H-U-M","15-20743","UH-60","US A"
"ae5c5c","a-f-A-M-F-P","169330","P-8","USN"
"AE5C97","a-f-A-M-F-C-M","15-5822","C-130J","USAF"
"ae5c9d","a-f-A-M-F-C-M","15-5831","C-130J","USAF"
"ae5d6d","a-f-A-M-H-O","16-20868","HH-60M","US A"
"ae5deb","a-f-A-M-F-H","2012","HC-130J","USCG"
"ae5dfc","a-f-A-M-F-C-M","16-5840","C-130J","USAF"
"ae5e07","a-f-A-M-F-K","17-46026","KC-46A","USAF"
"AE5F11","a-f-A-M-F-C-M","14-5864","C-130J","USAF"
"ae5f9a","a-f-A-M-F-K","18-46047","KC-46A","USAF"
"ae5f9c","a-f-A-M-F-K","18-46049","KC-46A","USAF"
"ae5fad","a-f-A-M-F-K","15-46066","KC-46A","USAF"
"ae6006","a-f-A-M-H-U-","16-20919","UH-60M","US A"
"ae60f4","a-f-A-M-F-T","16-1846","T-34T","USAF"
"ae61b3","a-f-A-M-F-U-L","82-23835","UV-18A","USAF"
"ae6257","a-f-A-M-F-Q-R","16-9171","RQ-4","USAF"
"ae6353","a-f-A-M-H-U-L","20-72475","UH-72A","US A"
"ae63b2","a-f-A-M-F-K","15-46070","KC-46A","USAF"
"AE63B4","a-f-A-M-F-K","20-46072","KC-46A","USAF"
"ae63e9","a-f-A-M-F-T","63-08133","T-38","USAF"
"ae63ee","a-f-A-M-F-T","67-14939","T-38","USAF"
"ae63f1","a-f-A-M-F-T","63-08131","T-38","USAF"
"ae6404","a-f-A-M-F-T","60-00582","T-38","USAF"
"ae6790","a-f-A-M-F-P","169561","P-8","USN"
"ae68ba","a-f-A-M-F-C-M","12-3040","C-146A","USAF"
"ae68bd","a-f-A-M-F-C-M","12-3047","C-146A","USAF"
"ae68c0","a-f-A-M-F-C-M","16-3025","C-146A","USAF"
"ae68e0","a-f-A-M-F-C-M","95-3058","C-146A","USAF"
"ae6910","a-f-A-M-F-C-M","18-5908","C-130J","USAF"
"ae6912","a-f-A-M-F-C-M","18-5911","C-130J","USAF"
"ae6961","a-f-A-M-V","18-1942","C-37B","USAF"
"ae6962","a-f-A-M-V","18-1947","C-37B","USAF"
"ae6a35","a-f-A-M-H-H","20-21131","HH-60M","US A"
"ae6a37","a-f-A-M-H-H","20-21133","HH-60M","US A"
"ae6c02","a-f-A-M-F-B","86-0129","B-1B","USAF"
"ae6c82","a-f-A-M-H-O","21-21203","HH-60M","US A"
"ae6ce8","a-f-A-M-H-O","6054","MH-60T","USCG"
"AE6D7A","a-f-A-M-F-M","20-5941","MC-130J Commando II","USAF"
"af351f","a-f-A-M-F-F","UNKNOWN","F-35","USAF"
"AF4A7B","a-f-A-M-F-U-L","168207","Beech 350","USMC"
