#TAK ADSB IDs USAF TRAINERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae0033","a-f-A-M-F-T","68-8159","T-38","USAF #trainer"
"ae0034","a-f-A-M-F-T","68-8160","T-38C","USAF #trainer"
"ae0036","a-f-A-M-F-T","68-8173","T-38C","USAF #trainer"
"ae0038","a-f-A-M-F-T","68-8196","T-38C","USAF #trainer"
"ae003b","a-f-A-M-F-T","69-7079","T-38","USAF #trainer"
"ae003c","a-f-A-M-F-T","69-7080","T-38C","USAF #trainer"
"ae003d","a-f-A-M-F-T","70-1562","T-38","USAF #trainer"
"ae003e","a-f-A-M-F-T","70-1564","T-38C","USAF #trainer"
"ae003f","a-f-A-M-F-T","70-1565","T-38","USAF #trainer"
"ae0040","a-f-A-M-F-T","70-1571","T-38C","USAF #trainer"
"ae0041","a-f-A-M-F-T","70-1573","T-38C","USAF #trainer"
"ae0042","a-f-A-M-F-T","70-1581","T-38","USAF #trainer"
"ae0043","a-f-A-M-F-T","70-1584","T-38C","USAF #trainer"
"ae0046","a-f-A-M-F-T","70-1955","T-38C","USAF #trainer"
"ae0047","a-f-A-M-F-T","63-8192","T-38","USAF #trainer"
"ae004c","a-f-A-M-F-T","64-13266","T-38C","USAF #trainer"
"ae004e","a-f-A-M-F-T","64-13295","T-38C","USAF #trainer"
"ae004f","a-f-A-M-F-T","65-10322","T-38","USAF #trainer"
"ae0051","a-f-A-M-F-T","65-10336","T-38C","USAF #trainer"
"ae0052","a-f-A-M-F-T","65-10339","T-38C","USAF #trainer"
"ae0052","a-f-A-M-F-T","65-10339","T-38C","USAF #trainer"
"ae0055","a-f-A-M-F-T","65-10445","T-38","USAF #trainer"
"ae0056","a-f-A-M-F-T","65-10459","T-38","USAF #trainer"
"ae005c","a-f-A-M-F-T","66-4325","T-38C","USAF #trainer"
"ae005f","a-f-A-M-F-T","66-4341","T-38C","USAF #trainer"
"ae0060","a-f-A-M-F-T","66-4342","T-38C","USAF #trainer"
"ae0062","a-f-A-M-F-T","66-4344","T-38C","USAF #trainer"
"ae0065","a-f-A-M-F-T","66-4347","T-38","USAF #trainer"
"ae0066","a-f-A-M-F-T","66-4348","T-38C","USAF #trainer"
"ae0067","a-f-A-M-F-T","66-4349","T-38C","USAF #trainer"
"ae0069","a-f-A-M-F-T","66-4351","T-38","USAF #trainer"
"ae0073","a-f-A-M-F-T","66-4384","T-38C","USAF #trainer"
"ae0074","a-f-A-M-F-T","66-4386","T-38","USAF #trainer"
"ae0075","a-f-A-M-F-T","66-4387","T-38C","USAF #trainer"
"ae007a","a-f-A-M-F-T","66-8359","T-38C","USAF #trainer"
"ae007d","a-f-A-M-F-T","66-8362","T-38C","USAF #trainer"
"ae007e","a-f-A-M-F-T","66-8364","T-38C","USAF #trainer"
"ae007f","a-f-A-M-F-T","66-8365","T-38C","USAF #trainer"
"ae0083","a-f-A-M-F-T","66-8369","T-38C","USAF #trainer"
"ae0089","a-f-A-M-F-T","66-8378","T-38","USAF #trainer"
"ae008b","a-f-A-M-F-T","66-8380","T-38C","USAF #trainer"
"ae008b","a-f-A-M-F-T","66-8380","T-38C","USAF #trainer"
"ae008c","a-f-A-M-F-T","66-8388","T-38","USAF #trainer"
"ae008f","a-f-A-M-F-T","66-8391","T-38","USAF #trainer"
"ae0091","a-f-A-M-F-T","66-8393","T-38C","USAF #trainer"
"ae0092","a-f-A-M-F-T","66-8394","T-38C","USAF #trainer"
"ae0093","a-f-A-M-F-T","66-8395","T-38C","USAF #trainer"
"ae0097","a-f-A-M-F-T","67-14849","T-38C","USAF #trainer"
"ae0098","a-f-A-M-F-T","67-14919","T-38C","USAF #trainer"
"ae0099","a-f-A-M-F-T","67-14929","T-38","USAF #trainer"
"ae009b","a-f-A-M-F-T","67-14935","T-38","USAF #trainer"
"ae009c","a-f-A-M-F-T","67-14937","T-38","USAF #trainer"
"ae009e","a-f-A-M-F-T","67-14942","T-38C","USAF #trainer"
"ae009f","a-f-A-M-F-T","68-8129","T-38C","USAF #trainer"
"ae00a0","a-f-A-M-F-T","68-8145","T-38","USAF #trainer"
"ae00a3","a-f-A-M-F-T","69-7073","T-38","USAF #trainer"
"ae00a4","a-f-A-M-F-T","69-7077","T-38C","USAF #trainer"
"ae00a5","a-f-A-M-F-T","70-1557","T-38C","USAF #trainer"
"ae00a6","a-f-A-M-F-T","70-1570","T-38C","USAF #trainer"
"ae00a6","a-f-A-M-F-T","70-1570","T-38C","USAF #trainer"
"ae00b0","a-f-A-M-F-T","61-0807","T-38C","USAF #trainer"
"ae00b1","a-f-A-M-F-T","61-0835","T-38","USAF #trainer"
"ae00b4","a-f-A-M-F-T","61-0851","T-38C","USAF #trainer"
"ae00b7","a-f-A-M-F-T","61-0863","T-38C","USAF #trainer"
"ae00b8","a-f-A-M-F-T","61-0866","T-38C","USAF #trainer"
"ae00ba","a-f-A-M-F-T","61-0876","T-38","USAF #trainer"
"ae00bd","a-f-A-M-F-T","61-0899","T-38","USAF #trainer"
"ae00c0","a-f-A-M-F-T","62-3678","T-38C","USAF #trainer"
"ae00c3","a-f-A-M-F-T","64-13232","T-38C","USAF #trainer"
"ae00c6","a-f-A-M-F-T","64-13298","T-38","USAF #trainer"
"ae00c7","a-f-A-M-F-T","65-10382","T-38","USAF #trainer"
"ae00c8","a-f-A-M-F-T","65-10404","T-38","USAF #trainer"
"ae00cf","a-f-A-M-F-T","68-8109","T-38","USAF #trainer"
"ae00d4","a-f-A-M-F-T","62-3752","T-38C","USAF #trainer"
"ae00d7","a-f-A-M-F-T","63-8175","T-38C","USAF #trainer"
"ae00d8","a-f-A-M-F-T","63-8187","T-38","USAF #trainer"
"ae00db","a-f-A-M-F-T","64-13203","T-38C","USAF #trainer"
"ae00dc","a-f-A-M-F-T","64-13211","T-38","USAF #trainer"
"ae00e1","a-f-A-M-F-T","65-10367","T-38C","USAF #trainer"
"ae00e4","a-f-A-M-F-T","65-10433","T-38C","USAF #trainer"
"ae00e8","a-f-A-M-F-T","66-4361","T-38","USAF #trainer"
"ae00ef","a-f-A-M-F-T","68-8189","T-38","USAF #trainer"
"ae00f2","a-f-A-M-F-T","68-8201","T-38","USAF #trainer"
"ae00f6","a-f-A-M-F-T","63-8207","T-38","USAF #trainer"
"ae00fa","a-f-A-M-F-T","64-13288","T-38","USAF #trainer"
"ae00fb","a-f-A-M-F-T","65-10350","T-38C","USAF #trainer"
"ae00fc","a-f-A-M-F-T","65-10381","T-38","USAF #trainer"
"ae00fe","a-f-A-M-F-T","65-10432","T-38","USAF #trainer"
"ae00ff","a-f-A-M-F-T","65-10457","T-38C","USAF #trainer"
"ae0100","a-f-A-M-F-T","65-10472","T-38","USAF #trainer"
"ae0103","a-f-A-M-F-T","68-8138","T-38C","USAF #trainer"
"ae0104","a-f-A-M-F-T","68-8161","T-38C","USAF #trainer"
"ae01d3","a-f-A-M-F-T","62-4129","TC-135W","USAF #trainer"
"ae01e3","a-f-A-M-F-T","96-3011","T-6A","USAF #trainer"
"ae01e4","a-f-A-M-F-T","96-3012","T-6A","USAF #trainer"
"ae01e5","a-f-A-M-F-T","96-3013","T-6A","USAF #trainer"
"ae01e8","a-f-A-M-F-T","97-3016","T-6","USAF #trainer"
"ae01ea","a-f-A-M-F-T","97-3018","T-6A","USAF #trainer"
"ae01eb","a-f-A-M-F-T","97-3019","T-6A","USAF #trainer"
"ae01ee","a-f-A-M-F-T","97-3022","T-6","USAF #trainer"
"ae01f1","a-f-A-M-F-T","98-3025","T-6A","USAF #trainer"
"ae01f2","a-f-A-M-F-T","98-3026","T-6A","USAF #trainer"
"ae01f4","a-f-A-M-F-T","98-3028","T-6","USAF #trainer"
"ae01f8","a-f-A-M-F-T","98-3032","T-6A","USAF #trainer"
"ae01fe","a-f-A-M-F-T","98-3038","T-6A","USAF #trainer"
"ae01fe","a-f-A-M-F-T","98-3038","T-6A","USAF #trainer"
"ae0203","a-f-A-M-F-T","98-3543","T-6A","USAF #trainer"
"ae0206","a-f-A-M-F-T","98-3546","T-6","USAF #trainer"
"ae0881","a-f-A-M-F-T","99-3547","T-6A","USAF #trainer"
"ae0882","a-f-A-M-F-T","99-3549","T-6","USAF #trainer"
"ae0884","a-f-A-M-F-T","99-3551","T-6A","USAF #trainer"
"ae0889","a-f-A-M-F-T","99-3556","T-6A","USAF #trainer"
"ae088a","a-f-A-M-F-T","99-3557","T-6","USAF #trainer"
"ae088c","a-f-A-M-F-T","99-3559","T-6A","USAF #trainer"
"ae088d","a-f-A-M-F-T","99-3560","T-6","USAF #trainer"
"ae0891","a-f-A-M-F-T","99-3564","T-6A","USAF #trainer"
"ae0893","a-f-A-M-F-T","99-3566","T-6A","USAF #trainer"
"ae0894","a-f-A-M-F-T","99-3567","T-6C","USAF #trainer"
"ae0898","a-f-A-M-F-T","00-3571","T-6","USAF #trainer"
"ae089c","a-f-A-M-F-T","00-3575","T-6A","USAF #trainer"
"ae089f","a-f-A-M-F-T","00-3578","T-6A","USAF #trainer"
