#TAK ADSB IDs DEUY Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"3F5572","a-f-A-M-F-C-H","54+33","A400M","DEU AF"
"3F5685","a-f-A-M-F-C-H","54+30","A400M","DEU AF"
"3F568C","a-f-A-M-H-A","74+22","EC665","DEU A"
"3F5727","a-f-A-M-F-C-H","54+14","A400M","DEU AF"
"3f575b","a-f-A-M-F-F","46+36","Tornado ECR","DEU AF"
"3F57E9","a-f-A-M-H-A","74+30","EC665","DEU A"
"3F5895","a-f-A-M-F-C-H","50+88","C-160D","DEU AF"
"3f58ae","a-f-A-M-F-V","14+01","Global 5000","DEU AF"
"3F59AF","a-f-A-M-H-C-H","84+28","CH-53G","DEU A"
"3f5a3a","a-f-A-M-F-F","30+05","EF-2000","DEU AF"
"3F5AAC","a-f-A-M-H-A","74+21","EC665","DEU A"
"3f5abc","a-f-A-M-F-F","31+13","EF-2000","DEU AF"
"3f5b0f","a-f-A-M-F-F","30+84","EF-2000 ","DEU AF"
"3f5b43","a-f-A-M-F-F","31+44","EF-2000","DEU AF"
"3F5C19","a-f-A-M-F-F","31+19","EF-2000","DEU AF"
"3f5c84","a-f-A-M-F-F","31+04","EF-2000","DEU AF"
"3f5e33","a-f-A-M-F-F","46+50","Tornado ECR","DEU AF"
"3f5e91","a-f-A-M-F-F","31+35","EF-2000","DEU AF"
"3f5f35","a-f-A-M-F-F","44+75","Tornado","DEU AF"
"3f5fbb","a-f-A-M-F-F","46+25","Tornado ECR","DEU AF"
"3F6001","a-f-A-M-F-R-W","60+01","P-3C","DEU N"
"3F6002","a-f-A-M-F-R-W","60+02","P-3C","DEU N"
"3F6003","a-f-A-M-F-R-W","60+03","P-3C","DEU N"
"3F6004","a-f-A-M-F-R-W","60+04","P-3C","DEU N"
"3F6005","a-f-A-M-F-R-W","60+05","P-3C","DEU N"
"3F6006","a-f-A-M-F-R-W","60+06","P-3C","DEU N"
"3F6007","a-f-A-M-F-R-W","60+07","P-3C","DEU N"
"3F6008","a-f-A-M-F-R-W","60+08","P-3C","DEU N"
"3F619C","a-f-A-M-H-A","74+20","EC665","DEU N"
"3F61AA","a-f-A-M-F-C-H","54+36","A400M","DEU AF"
"3f61f9","a-f-A-M-F-C-H","50+61","C-160D","DEU AF"
"3F6219","a-f-A-M-F-C-H","54+31","A400M","DEU AF"
"3f626b","a-f-A-M-F-F","30+64","EF-2000","DEU AF"
"3F62DB","a-f-A-M-F-F","46+25","Tornado","DEU AF"
"3f6446","a-f-A-M-F-C-H","50+77","C-160D","DEU AF"
"3f6460","a-f-A-M-F-F","30+96","EF-2000","DEU AF"
"3F64F6","a-f-A-M-F-C-H","54+21","A400M","DEU AF"
"3F6521","a-f-A-M-H-C-M","79+07","NH-90","DEU A"
"3F6533","a-f-A-M-F-V","14+03","Global 5000","DEU AF"
"3f65a8","a-f-A-M-F-F","30+70","EF-2000","DEU AF"
"3F6631","a-f-A-M-H-A","74+25","EC665","DEU A"
"3f6679","a-f-A-M-F-F","30+29","EF-2000","DEU AF"
"3F6682","a-f-A-M-F-C-H","54+11","A400M","DEU AF"
"3F66B0","a-f-A-M-F-C-H","54+32","A400M","DEU AF"
"3F66EC","a-f-A-M-F-F","95+03","EF-2000","DEU AF"
"3f66ec","a-f-A-M-F-F","95+03","EF-2000","DEU AF"
"3F6732","a-f-A-M-H-C-M","78+21","NH-90","DEU A"
"3F67D9","a-f-A-M-F-F","31+20","EF-2000","DEU AF"
"3f6854","a-f-A-M-F-F","46+28","Tornado ECR","DEU AF"
"3F68B2","a-f-A-M-F-F","45+76","Tornado","DEU AF"
"3F6931","a-f-A-M-F-C-H","54+17","A400M","DEU AF"
"3F69D4","a-f-A-M-F-F","44+75","Tornado","DEU AF"
"3F6A2F","a-f-A-M-F-F","30+88","EF-2000","DEU AF"
"3f6b1d","a-f-A-M-F-F","45+57","Tornado IDS","DEU AF"
"3f6bc6","a-f-A-M-F-C-H","50+36","C-160D","DEU AF"
"3f6c8a","a-f-A-M-F-F","30+83","EF-2000","DEU AF"
"3F6CC9","a-f-A-M-H-U-L","76+15","EC145","DEU A"
"3f6cce","a-f-A-M-F-F","30+26","EF-2000","DEU AF"
"3F6E1F","a-f-A-M-H-A","74+13","EC665","DEU A"
"3F6E57","a-f-A-M-H-C-M","79+04","NH-90","DEU A"
"3F6E70","a-f-A-M-H-C-M","78+12","NH-90","DEU A"
"3F6EC9","a-f-A-M-F-F","31+41","EF-2000","DEU AF"
"3F6EEA","a-f-A-M-H-U-L","76+11","EC645T2","DEU AF"
"3F6F02","a-f-A-M-F-C-H","54+12","A400M","DEU AF"
"3f6f02","a-f-A-M-F-C-H","54+12","Airbus Military A400M","DEU AF"
"3f6fec","a-f-A-M-F-F","46+54","Tornado ECR","DEU AF"
"3F7001","a-f-A-M-F-C-H","54+06","A400M","DEU AF"
"3f7001","a-f-A-M-F-C-H","54+06","A400M","DEU AF"
"3f701e","a-f-A-M-F-F","31+13","EF-2000","DEU AF"
"3F722E","a-f-A-M-H-A","74+23","EC665","DEU A"
"3F727C","a-f-A-M-F-C-H","54+08","A400M","DEU AF"
"3f727c","a-f-A-M-F-C-H","54+08","A400M","DEU AF"
"3f72d0","a-f-A-M-F-F","31+18","EF-2000","DEU AF"
"3F73C1","a-f-A-M-F-F","31+35","EF-2000","DEU AF"
"3f7430","a-f-A-M-F-F","30+65","EF-2000","DEU AF"
"3f74a2","a-f-A-M-F-F","30+70","EF-2000","DEU AF"
"3F751B","a-f-A-M-H-C-M","79+22","NH-90","DEU A"
"3F7588","a-f-A-M-F-C-H","54+09","A400M","DEU AF"
"3f7588","a-f-A-M-F-C-H","54+09","A400M","DEU AF"
"3f75cd","a-f-A-M-F-C-H","51+01","C-160D","DEU AF"
"3f75dc","a-f-A-M-F-F","46+54","Tornado ECR","DEU AF"
"3f7620","a-f-A-M-F-F","46+24","Tornado ECR","DEU AF"
"3F765A","a-f-A-M-H-A","74+49","EC665","DEU A"
"3F76AB","a-f-A-M-H-C-M","79+41","NH-90","DEU A"
"3f7708","a-f-A-M-F-F","44+65","Tornado IDS","DEU AF"
"3F77AA","a-f-A-M-H-C-M","78+22","NH-90","DEU A"
"3f781d","a-f-A-M-F-C-H","51+05","C-160D","DEU AF"
"3F793F","a-f-A-M-H-C-M","79+28","NH-90","DEU A"
"3F798B","a-f-A-M-H-C-M","78+07","NH-90","DEU A"
"3F79F9","a-f-A-M-F-C-H","54+07","A400M","DEU AF"
"3f79f9","a-f-A-M-F-C-H","54+07","A400M","DEU AF"
"3f7a73","a-f-A-M-F-F","31+22","EF-2000","DEU AF"
"3f7a7d","a-f-A-M-F-F","30+51","EF-2000","DEU AF"
"3f7ab3","a-f-A-M-F-F","30+68","EF-2000","DEU AF"
"3F7B3C","a-f-A-M-F-V","14+04","Global 5000","DEU AF"
"3f7b86","a-f-A-M-F-F","30+63","EF-2000","DEU AF"
"3f7d5e","a-f-A-M-F-F","46+51","Tornado ECR","DEU AF"
"3F7DC1","a-f-A-M-F-V","15+01","A319CJ","DEU A"
"3f7eee","a-f-A-M-F-F","46+44","Tornado IDS","DEU AF"
"3f7f24","a-f-A-M-F-F","31+18","EF-2000","DEU AF"
"3F8006","a-f-A-M-H-C-M","78+23","NH-90","DEU A"
"3F8019","a-f-A-M-F-C-H","54+28","A400M","DEU AF"
"3F8032","a-f-A-M-H-C-M","79+14","NH-90","DEU A"
"3F8086","a-f-A-M-H-C-M","78+24","NH-90","DEU A"
"3f80ab","a-f-A-M-F-F","31+35","EF-2000","DEU AF"
"3F80B1","a-f-A-M-H-A","74+48","EC665","DEU A"
"3F80FC","a-f-A-M-H-C-M","79+57","NH-90","DEU A"
"3F8143","a-f-A-M-H-U-M","89+56","Sea King","DEU N"
"3F814B","a-f-A-M-H-C-M","78+40","NH-90","DEU A"
"3F81A5","a-f-A-M-H-A","74+63","EC665","DEU A"
"3F81A8","a-f-A-M-H-U-M","83+26","Lynx","DEU N"
"3f81dc","a-f-A-M-F-F","44+21","Tornado IDS","DEU AF"
"3F81E3","a-f-A-M-H-A","74+51","EC665","DEU A"
"3F81FA","a-f-A-M-H-C-M","79+38","NH-90","DEU A"
"3F8249","a-f-A-M-H-A","74+35","EC665","DEU A"
"3F841B","a-f-A-M-H-C-M","78+09","NH-90","DEU A"
"3F843E","a-f-A-M-H-U-L","77+01","EC145","DEU A"
"3F847A","a-f-A-M-F-F","30+49","EF-2000","DEU AF"
"3F8512","a-f-A-M-H-C-M","79+09","NH-90","DEU A"
"3F8517","a-f-A-M-F-C-H","10+23","A310","DEU AF"
"3F8518","a-f-A-M-F-C-H","10+24","A310","DEU AF"
"3F8519","a-f-A-M-F-C-H","10+25","A310","DEU AF"
"3F851A","a-f-A-M-F-C-H","10+26","A310","DEU AF"
"3F851B","a-f-A-M-F-C-H","10+27","A310","DEU AF"
"3f853b","a-f-A-M-H-U-L","76+10","EC645T2","DEU AF"
"3F8569","a-f-A-M-H-C-M","79+59","NH-90","DEU A"
"3F8576","a-f-A-M-H-U-M","83+07","Lynx","DEU N"
"3F8580","a-f-A-M-H-C-M","79+60","NH-90","DEU A"
"3F8592","a-f-A-M-H-U-H","82+02","AS332","DEU A"
"3F85D2","a-f-A-M-H-A","74+46","EC665","DEU A"
"3F8653","a-f-A-M-F-F","30+65","EF-2000","DEU AF"
"3F8671","a-f-A-M-H-U-M","89+55","Sea King","DEU N"
"3F8686","a-f-A-M-H-A","74+61","EC665","DEU A"
"3F86DC","a-f-A-M-H-C-M","79+61","NH-90","DEU A"
"3f8701","a-f-A-M-F-F","30+38","EF-2000","DEU AF"
"3F877F","a-f-A-M-H-U-M","83+12","Lynx","DEU N"
"3F8803","a-f-A-M-H-C-M","79+13","NH-90","DEU A"
"3F8848","a-f-A-M-H-C-M","79+29","NH-90","DEU A"
"3F8856","a-f-A-M-H-A","74+45","EC665","DEU A"
"3F8905","a-f-A-M-H-U-L","77+02","EC145","DEU A"
"3F892A","a-f-A-M-H-U-L","77+04","EC145","DEU A"
"3F8935","a-f-A-M-H-C-M","79+30","NH-90","DEU A"
"3F8975","a-f-A-M-H-C-M","79+27","NH-90","DEU A"
"3F8976","a-f-A-M-H-A","74+31","EC665","DEU A"
"3f89ed","a-f-A-M-F-F","30+92","EF-2000","DEU AF"
"3F8A64","a-f-A-M-H-C-M","79+32","NH-90","DEU A"
"3F8B5A","a-f-A-M-H-U-M","83+23","Lynx","DEU N"
"3F8B7D","a-f-A-M-H-C-M","78+17","NH-90","DEU A"
"3F8B8E","a-f-A-M-H-A","74+70","EC665","DEU A"
"3F8BB6","a-f-A-M-F-C-H","50+57","C-160D","DEU AF"
"3F8BD0","a-f-A-M-H-U-L","77+03","EC145","DEU A"
"3F8C41","a-f-A-M-H-C-M","79+15","NH-90","DEU A"
"3F8C58","a-f-A-M-F-F","31+39","EF-2000","DEU AF"
"3F8C62","a-f-A-M-H-U-L","77+08","EC645T2","DEU A"
"3f8cd8","a-f-A-M-F-F","45+59","Tornado IDS","DEU AF"
"3F8CF0","a-f-A-M-H-C-M","79+58","NH-90","DEU A"
"3f8d00","a-f-A-M-F-F","30+64","EF-2000","DEU AF"
